epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,214,,,,0.7950000166893005,0.5372557640075684
0,214,,,0.8420735597610474,,
1,429,,,,0.8361999988555908,0.46465057134628296
1,429,,,0.4990804195404053,,
2,644,,,,0.8546000123023987,0.403346985578537
2,644,,,0.42985954880714417,,
3,859,,,,0.8659999966621399,0.3696337640285492
3,859,,,0.38711977005004883,,
4,1074,,,,0.8623999953269958,0.3707759380340576
4,1074,,,0.3554587960243225,,
5,1289,,,,0.878600001335144,0.3423301875591278
5,1289,,,0.33508506417274475,,
6,1504,,,,0.8745999932289124,0.33180248737335205
6,1504,,,0.3213382065296173,,
7,1719,,,,0.8805999755859375,0.32063788175582886
7,1719,,,0.30751633644104004,,
8,1934,,,,0.8859999775886536,0.31729361414909363
8,1934,,,0.2927665710449219,,
9,2149,,,,0.88919997215271,0.30117663741111755
9,2149,,,0.2831740379333496,,
10,2364,,,,0.8889999985694885,0.3029600977897644
10,2364,,,0.2760308086872101,,
11,2579,,,,0.8917999863624573,0.30294182896614075
11,2579,,,0.27097398042678833,,
12,2794,,,,0.8884000182151794,0.3095158338546753
12,2794,,,0.2591089904308319,,
13,3009,,,,0.892799973487854,0.2929207384586334
13,3009,,,0.2520945966243744,,
14,3224,,,,0.8953999876976013,0.28763580322265625
14,3224,,,0.24785223603248596,,
15,3439,,,,0.8889999985694885,0.3056013286113739
15,3439,,,0.24244406819343567,,
16,3654,,,,0.8920000195503235,0.29916924238204956
16,3654,,,0.23654451966285706,,
17,3869,,,,0.8944000005722046,0.29138168692588806
17,3869,,,0.22822979092597961,,
18,4084,,,,0.8971999883651733,0.28799310326576233
18,4084,,,0.22313085198402405,,
19,4299,,,,0.8998000025749207,0.28887900710105896
19,4299,,,0.21708396077156067,,
20,4300,0.8974000215530396,0.2981591820716858,,,
